date,Overnight,1 Month,3 Months,12 Months
2021-01-04,0.04027,0.15,0.33054,0.68607
2021-01-05,0.03804,0.13482,0.30982,0.67643
2021-01-06,0.03875,0.13518,0.30036,0.66304
2021-01-07,0.03881,0.13304,0.29821,0.66232
2021-01-08,0.06464,0.13482,0.29232,0.66161
2021-01-11,0.07071,0.13,0.28107,0.65089
2021-01-12,0.07107,0.12929,0.27214,0.64464
2021-01-13,0.06982,0.12321,0.27054,0.64006
2021-01-14,0.05161,0.11714,0.27054,0.64077
2021-01-15,0.04188,0.11643,0.26875,0.64006
2021-01-18,0.04188,0.11714,0.27161,0.64
2021-01-19,0.03813,0.11304,0.25,0.6325
2021-01-20,0.03955,0.10929,0.24214,0.6325
2021-01-21,0.04027,0.115,0.24089,0.62911
2021-01-22,0.03985,0.10893,0.24018,0.62911
2021-01-25,0.03741,0.11607,0.24018,0.62911
2021-01-26,0.04134,0.13476,0.245,0.62696
2021-01-27,0.04429,0.14202,0.24143,0.62482
2021-01-28,0.05,0.14518,0.24,0.62518
2021-01-29,0.23107,0.15691,0.2425,0.62589
2021-02-01,0.15964,0.15732,0.24214,0.62411
2021-02-02,0.10625,0.15964,0.23929,0.62304
2021-02-03,0.10268,0.15607,0.23768,0.62232
2021-02-04,0.04982,0.14685,0.23839,0.62375
2021-02-05,0.0392,0.13518,0.23536,0.62214
2021-02-08,0.04411,0.14714,0.2375,0.62375
2021-02-09,0.04327,0.14679,0.23536,0.62071
2021-02-10,0.11054,0.14821,0.23536,0.62071
2021-02-11,0.1,0.14679,0.23393,0.62143
2021-02-16,0.09774,0.14071,0.23464,0.62643
2021-02-17,0.0572,0.14089,0.23393,0.62179
2021-02-18,0.04506,0.13821,0.23321,0.62071
2021-02-19,0.04089,0.13411,0.2325,0.62
2021-02-22,0.03702,0.12554,0.23393,0.62071
2021-02-23,0.03667,0.12304,0.2325,0.61929
2021-02-24,0.03667,0.12464,0.23321,0.61929
2021-02-25,0.0381,0.12393,0.22786,0.61375
2021-02-26,0.04,0.1225,0.22714,0.61304
2021-03-01,0.04,0.12179,0.22643,0.61304
2021-03-02,0.03875,0.125,0.22411,0.61214
2021-03-03,0.03946,0.12714,0.22589,0.61179
2021-03-04,0.03848,0.12607,0.22518,0.61214
2021-03-05,0.04161,0.12714,0.22518,0.6125
2021-03-08,0.03821,0.1275,0.22589,0.61179
2021-03-09,0.04024,0.15946,0.24357,0.61179
2021-03-10,0.03952,0.1678,0.24952,0.6075
2021-03-11,0.03774,0.16976,0.23732,0.60679
2021-03-12,0.03881,0.16655,0.23661,0.61107
2021-03-15,0.03929,0.16607,0.23696,0.6125
2021-03-16,0.03952,0.16679,0.23518,0.61107
2021-03-17,0.0372,0.16583,0.23661,0.61036
2021-03-18,0.03893,0.16583,0.23423,0.60929
2021-03-19,0.03536,0.16655,0.23423,0.60607
2021-03-22,0.0381,0.15631,0.23518,0.60964
2021-03-23,0.04095,0.15232,0.2325,0.60875
2021-03-24,0.03527,0.14071,0.23179,0.60589
2021-03-25,0.03667,0.13464,0.22911,0.60393
2021-03-26,0.03774,0.1325,0.22768,0.58589
2021-03-29,0.03893,0.12911,0.22696,0.58018
2021-03-30,0.03738,0.13054,0.22911,0.57946
2021-03-31,0.03396,0.12887,0.22673,0.57321
2021-04-01,0.03467,0.12125,0.22589,0.5725
2021-04-07,0.03741,0.12661,0.20821,0.5725
2021-04-08,0.03667,0.12554,0.22304,0.5725
2021-04-09,0.03821,0.12042,0.22077,0.56732
2021-04-12,0.0392,0.11464,0.21196,0.53929
2021-04-13,0.0381,0.11393,0.21125,0.52881
2021-04-14,0.03714,0.10744,0.20643,0.50982
2021-04-15,0.03467,0.10357,0.20161,0.49036
